,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Unnamed: 17_level_0,Unnamed: 18_level_0,Ice Time,Ice Time,Point Shares,Point Shares,Point Shares,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Mathew Barzal,25.0,C,24,2,24,26,3,14,1,1,0,0,13,11,0,55,3.6,449.0,18:42,1.5,0.7,2.2,8,16,52,103,33.5
1,2.0,Brock Nelson,31.0,C,24,11,12,23,6,10,9,2,0,4,7,5,0,73,15.1,448.0,18:41,2.1,0.8,2.9,17,19,170,170,50.0
2,3.0,Anders Lee,32.0,LW,24,8,11,19,3,26,5,3,0,1,6,5,0,61,13.1,399.0,16:36,1.5,0.6,2.1,13,46,11,13,45.8
3,4.0,Noah Dobson,23.0,D,24,7,9,16,-3,2,4,3,0,2,4,5,0,70,10.0,494.0,20:35,1.7,0.9,2.5,38,19,0,0,
4,5.0,Jean-Gabriel Pageau,30.0,C,24,6,8,14,0,2,1,4,1,2,7,1,0,39,15.4,430.0,17:54,0.8,0.5,1.3,17,70,261,200,56.6
5,6.0,Oliver Wahlstrom,22.0,RW,23,6,6,12,7,30,5,1,0,1,6,0,0,49,12.2,278.0,12:06,1.0,0.6,1.6,12,29,5,11,31.3
6,7.0,Zach Parise,38.0,LW,24,7,4,11,6,2,4,2,1,1,2,1,1,59,11.9,393.0,16:23,0.7,0.7,1.4,22,23,5,6,45.5
7,8.0,Ryan Pulock,28.0,D,24,1,10,11,9,2,1,0,0,0,7,3,0,30,3.3,481.0,20:02,0.6,1.7,2.3,41,43,0,0,
8,9.0,Anthony Beauvillier,25.0,LW,23,5,5,10,-1,4,5,0,0,1,5,0,0,47,10.6,352.0,15:17,0.5,0.4,0.9,9,20,0,0,
9,10.0,Adam Pelech,28.0,D,24,3,7,10,11,22,3,0,0,0,6,0,1,29,10.3,505.0,21:01,0.7,1.9,2.5,37,36,0,0,
10,11.0,Kyle Palmieri,31.0,RW,20,6,3,9,-2,6,5,1,0,1,2,1,0,37,16.2,327.0,16:20,0.6,0.3,0.9,6,31,5,10,33.3
11,12.0,Josh Bailey,33.0,C,20,4,3,7,2,2,4,0,0,2,2,1,0,29,13.8,304.0,15:12,0.2,0.5,0.7,8,3,12,20,37.5
12,13.0,Scott Mayfield,30.0,D,24,4,2,6,5,34,4,0,0,0,2,0,0,34,11.8,473.0,19:43,0.4,1.4,1.8,40,27,0,0,
13,14.0,Alexander Romanov,23.0,D,24,0,6,6,5,14,0,0,0,0,6,0,0,33,0.0,479.0,19:57,0.0,1.4,1.4,55,62,0,0,
14,15.0,Sebastian Aho,26.0,D,20,2,3,5,-1,0,2,0,0,0,3,0,0,25,8.0,275.0,13:44,0.4,0.5,0.9,8,11,0,0,
15,16.0,Matt Martin,33.0,LW,23,2,3,5,-1,14,2,0,0,0,3,0,0,14,14.3,238.0,10:22,0.0,0.3,0.3,7,78,3,7,30.0
16,17.0,Casey Cizikas,31.0,C,24,0,4,4,-2,29,0,0,0,0,4,0,0,25,0.0,311.0,12:57,-0.5,0.3,-0.2,16,53,161,138,53.8
17,18.0,Cal Clutterbuck,35.0,RW,22,2,1,3,2,12,2,0,0,0,1,0,0,19,10.5,264.0,12:00,-0.2,0.4,0.2,14,85,0,1,0.0
18,19.0,Robin Salo,24.0,D,4,2,0,2,1,4,2,0,0,0,0,0,0,4,50.0,56.0,13:56,0.3,0.2,0.5,7,1,0,0,
19,20.0,Simon Holmström,21.0,RW,4,0,1,1,2,0,0,0,0,0,1,0,0,0,,46.0,11:34,0.0,0.1,0.1,1,0,0,2,0.0
20,21.0,Ross Johnston,28.0,LW,5,0,1,1,-1,14,0,0,0,0,1,0,0,2,0.0,44.0,8:44,0.0,0.0,0.0,2,11,1,0,100.0
21,22.0,Kieffer Bellows,24.0,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,7.0,7:16,0.0,0.0,0.0,0,3,0,0,
22,23.0,Ilya Sorokin,27.0,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,964.0,56:42,0.0,0.0,4.4,0,0,0,0,
23,24.0,Nikita Soshnikov,29.0,RW,3,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,30.0,9:56,-0.1,0.0,-0.1,0,8,0,1,0.0
24,25.0,Semyon Varlamov,34.0,G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,464.0,58:02,0.0,0.0,1.7,0,0,0,0,
25,,Team Total,,,24,78,123,201,48,243,59,17,2,15,88,33,2,738,10.6,,,12.0,14.1,32.2,378,694,686,682,50.1
